"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"133","org.apache.tools.ant.types.resources.Sort$SortedBag","0","0","5","0","0","0","0","0","0","0","3","0","64","0","0","0","0","0","0","0.199999999999999"
"134","org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator","0","0","3","0","0","0","0","0","0","0","3","0","24","0","0","0","0","0","0","0"
"135","org.apache.tools.ant.IntrospectionHelper$7","0","0","2","0","0","0","0","0","0","0","1","0","28","0","1","0","0","0","0","0.5"
"136","org.apache.tools.ant.IntrospectionHelper$8","0","0","2","0","0","0","0","0","0","0","1","0","45","0","1","0","0","0","0","0.75"
"137","org.apache.tools.ant.IntrospectionHelper$9","0","0","2","0","0","0","1","0","0","0","1","0","87","0","1","0","0","0","0","0"
"138","org.apache.tools.ant.taskdefs.SQLExec","0","0","28","0","0","2","8","51","0","2","21","0.00947089947089941","917","0","1","-0.0161205073995772","-0.00595238095238096","1","1","-0.786324786324791"
"139","org.apache.tools.ant.IntrospectionHelper$3","0","0","2","0","0","0","0","0","0","0","1","0","27","0","1","0","0","0","0","0.5"
"140","org.apache.tools.ant.IntrospectionHelper$4","0","0","2","0","0","0","0","0","0","0","1","0","54","0","1","0","0","0","0","0.75"
"141","org.apache.tools.ant.IntrospectionHelper$5","0","0","2","0","0","0","0","0","0","0","1","0","32","0","1","0","0","0","0","0.5"
"142","org.apache.tools.ant.IntrospectionHelper$6","0","0","2","0","0","0","0","0","0","0","1","0","34","0","1","0","0","0","0","0.5"
"143","org.apache.tools.ant.types.resources.comparators.Exists","0","0","2","0","0","0","0","0","0","0","1","0","20","0","0","0","0","0","0","0"
"144","org.apache.tools.ant.Project","0","0","122","0","0","8","0","0","8","0","104","0","2436","0","5","0","0","0","0","0.159836065573771"
"145","org.apache.tools.ant.taskdefs.XSLTProcess$OutputProperty","0","0","5","0","0","0","0","0","0","0","5","0","24","0","0","0","0","0","0","0.2"
"146","org.apache.tools.ant.filters.TokenFilter$ContainsRegex","0","0","6","0","0","0","0","0","0","0","5","0","112","0","3","0","0","0","0","0.666666666666668"
"147","org.apache.tools.ant.taskdefs.Manifest$Attribute","0","0","16","0","0","0","0","0","0","0","15","0","446","0","0","0","0","0","0","0.09375"
"148","org.apache.tools.ant.taskdefs.condition.IsFalse","0","0","3","0","0","0","0","0","0","0","3","0","34","0","0","0","0","0","0","0.166666666666666"
"149","org.apache.tools.ant.types.selectors.ContainsSelector","0","0","9","0","0","0","1","0","0","0","9","0","277","0","0","0","0","0","0","0.666666666666668"
"150","org.apache.tools.ant.types.resources.BZip2Resource","0","0","6","0","0","0","0","0","0","0","2","0","70","0","0","0","0","0","0","0.0833333333333339"
"151","org.apache.tools.ant.types.PropertySet$BuiltinPropertySetName","0","0","2","0","0","0","0","0","0","0","2","0","23","0","0","0","0","0","0","0.75"
"152","org.apache.tools.ant.taskdefs.WaitFor","0","0","9","0","0","0","0","0","0","0","7","0.21875","201","0","0","0","0","0","0","0.277777777777779"
"153","org.apache.tools.ant.taskdefs.LoadProperties","0","0","12","0","0","0","1","0","0","0","11","0","309","0","1","0","0","0","0","0.25"
